# No. JC Period x0 y0_dot
0  3.3949 0.2230147974 0.9624690577 0.7184165432
1  3.1361 0.6166055596 0.9361690577 0.5420829797
2  3.0460 1.0873149322 0.9098690577 0.4861304073
3  2.9982 1.6036604892 0.8835690577 0.4704001643
4  2.9676 2.1456222060 0.8572690577 0.4752341941
5  2.9455 2.6935872117 0.8309690577 0.4931694567
6  2.9278 3.2259140152 0.8046690577 0.5206492176
7  2.9123 3.7214359005 0.7783690577 0.5556648548
8  2.8976 4.1639236713 0.7520690577 0.5969085865
9  2.8828 4.5451073473 0.7257690577 0.6434438745
10 2.8674 4.8656732383 0.6993690577 0.6947808121
11 2.8510 5.1282795896 0.6730690577 0.7500292555
12 2.8334 5.3419826389 0.6467690577 0.8090396816
13 2.8145 5.5150452938 0.6204690577 0.8716174367
14 2.7940 5.6550946637 0.5941690577 0.9376894311
15 2.7720 5.7686517772 0.5678690577 1.0072891703
16 2.7482 5.8610608744 0.5415690577 1.0805472211
17 2.7227 5.9366010546 0.5152690577 1.1576874834
18 2.6952 5.9986577916 0.4889690577 1.2390293886
19 2.6655 6.0500729893 0.4625690577 1.3253326531
